目录	名称	简介	用户名	领域	bot	状态
twitter	Nature Reviews Genetics	Publishing reviews and commentaries across the fields of genetics and genomics. Part of @SpringerNature and @NaturePortfolio. Tweets are from the editors.	NatureRevGenet	生物学		
twitter	Johannes K_ster	"Algorithms for reproducible bioinformatics, Institute of Human Genetics, University of Duisburg-Essen"	johanneskoester	生物学		
twitter	Civitai	"A global community-driven platform for discovering, creating, and sharing Stable Diffusion resources and art."	HelloCivitai	AI		
twitter	Feng Zhang	Researcher at Broad Institute and McGovern Institute at MIT.	zhangf	生物学		
twitter	Kareem Carr	"Stats PhD student @Harvard _ I tweet about data science: what it is, how to do it better, why it matters for the rest of society."	kareem_carr	数据科学		
twitter	Wonder	"CEO of GrandOmics. Uncever the secret of long molecular information, by BAC-long, NextDenovo2, GrandSV and dbSV…"	GrandOmics	生物学		
twitter	ARTIC NetWork	Wellcome Trust Collaborative Grant to drive real-time genomic surveillance during outbreaks and epidemics	NetworkArtic	生物学		
twitter	Adam Phillippy	"Off to bluer pastures. I'll also try and post research updates more frequently on the lab homepage, linked below."	aphillippy	生物学		
twitter	Karen Miga	Assistant Professor at UCSC; UC Santa Cruz Genomics Institute; Satellite DNA Biologist	khmiga	生物学		
twitter	Eric Green	@Genome_gov Director. Genomicist. St. Louis Cardinals fan. He/Him/His NHGRI privacy policy: http://bit.ly/2QIsDUw.	NHGRI_Director	生物学		
twitter	Albert Vilella	"Experienced Bioinformatics Scientist, Next-Generation Sequencing, Single Cell, Spatial Biology, Liquid Biopsy, Epigenomics, Synthetic Biology."	AlbertVilella	生物学		
twitter	GrandOmics	Approach life-science :::::: Technology innovation Caring humanity :::::: Guardian of ethics———— (NextOmics) ———— Contact us: grandomics_intl@grandomics.com	GrandOmics_Intl	生物学		
twitter	GitHub	"The AI-powered developer platform to build, scale, and deliver secure software."	github	IT		
twitter	Alexander Wittenberg	"AgBio genomics expert. Exploring new horizons & disruptive innovations in DNA, RNA & Protein sequencing, single cell & spatial omics.	AW_NGS	生物学		
twitter	pangenome_papers		pangenomepapers	生物学	bot	
twitter	Disease Ontology	"The Disease Ontology is a community driven, open source ontology that is designed to integrate biomedical data that is associated with human disease."	diseaseontology	生物学		
twitter	Geraldine Van der Auwera 	Lead developer advocate at Seqera; Co-author of Genomics in the Cloud	VdaGeraldine	生物学		
twitter	Gerald Goh	"@LSChorus bass. Genomics advocate, cancer researcher, arts lover. Tweets are my own. He/hi"	gerald_goh	生物学		
twitter	Olin Silander	"A/Prof Massey University, Tāmaki Makaurau, Aotearoa. Evolutionary biologist and wannabe microbiologist. he/him."	osilander	生物学		
twitter	AllofUsResearch	We want to speed up health research. Be 1 in a million + #JoinAllofUs. Visit: http://JoinAllofUs.org Privacy Policy: http://go.usa.gov/x9svN Likes ≠ Endorsement.	AllofUsResearch	生物学		
twitter	Sam Ireland	Co-Founder/CTO @goodwright_	samirelanduk	?		
twitter	Dr. Amanda Warr __	"BBSRC Discovery Fellow #Genomics & #Metagenomics @roslininstitute I like long reads, 3D printing and cats. Also on @ION_BRU @amandatron89 .bsky.social"	Amandatron89	生物学		
twitter	Nextflow	"The leading open source orchestrator for containerized, data-intensive pipelines on any infrastructure at any scale."	nextflowio	IT		
twitter	Nature Biotechnology	Publishing the very best of biotech science and business. Part of @SpringerNature and @NaturePortfolio. On Facebook (natbiotechnol) & IG (nature.biotechnology)	NatureBiotech	生物学		
twitter	bioRxiv Bioinfo		biorxiv_bioinfo	生物学		
twitter	Digital Biology Education	Helping people to start in #Bioinformatics! Blog & Newsletter to get started in the field.	CloudGenomics	生物学		
twitter	Andrew Beggs	"Prof Cancer Genetics & Surgery @unibirmingham, Colorectal Surgeon @uhbtrust, “General” scientist as well as general surgeon. Cancer/Surgery/Genomics."	adbeggs	生物学		
twitter	Koen Deserranno	Ph.D. student @UGent Laboratory of Pharmaceutical Biotechnology Currently studying the field of pharmacogenomics and single cell transcriptomics	KoenDeserranno	生物学		
twitter	GenomeArc	Accelerating #Genomic Medicine for Healthier Future!	genomearc	生物学		
twitter	Genetics in Medicine	"Genetics in Medicine, an official journal of @TheACMG Site use policy: http://bit.ly/gimconduct. Cover art: ""Sunlight on First Snow"""	GIMJournal	生物学		
twitter	Twist Bioscience	Synthetic DNA for Health & Sustainability #WeMakeDNA #TwistBlog WritingTheFuture #TwistBiopharma #ScienceDoesntStop #DiversityIsInOurDNA	TwistBioscience	生物学		
twitter	Sissel Juul	Nerd @nanopore Applications. She/her. Opinions are my own.	Sisseljuul	生物学		
twitter	Katherine Melville	Oxford Nanopore Technologies employee. All opinions are my own.	kmelville91	生物学		
twitter	gfw.report		gfw_report	IT		
twitter	ACMG	American College of Medical Genetics and Genomics (ACMG): Translating Genes into Health_ @GIMJournal #ACMGMtg24 #ACMGFoundation Site Use http://bit.ly/2Xgjd6l	TheACMG	生物学		
twitter	John Tyson	Senior Scientist BCCDC in Microbial Genomics and itinerant Nanopore tinkerer	DrT1973	生物学		
twitter	Fritz Sedlazeck	"Associate Professor @BCM_HGSC, @RiceCompSci"	sedlazeck	生物学		
twitter	Miten Jain	"Assistant Professor, Genome Technology Laboratory, @NUBioE1, @NortheasternCOE, @Northeastern"	mitenjain	生物学		
twitter	National Human Genome Research Institute	Funding research at the forefront of genomics to improve human health. Formerly the Human Genome Project. http://genome.gov/privacy.cfm	genome_gov	生物学		
twitter	GA4GH	"Global Alliance for Genomics & Health. Working together for responsible, voluntary & secure sharing of genomic & clinical data for human health."	GA4GH	生物学		
twitter	Wei Ji	"influenza virus, Vaccine Immunology"	abccbawo	生物学		
twitter	David Eccles	"Neurodivergent paid vaccine pusher, with a love for Free Software and the hacking thereof. Rangitāne. He / his Mastodon: @gringene@genomic.social"	gringene_bio	生物学		
twitter	Clive G. Brown	Sceptic.	The__Taybor	生物学		
twitter	Heng Li	Associate professor of biomedical informatics at @HarvardDBMI and @dfcidatascience	lh3lh3	生物学		
twitter	Hasindu Gamaarachchi	Lecturer at UNSW Sydney; Visiting Scientist at Garvan Institute of Medical Research - Designing embedded systems for bioinformatics applications.	Hasindu2008	生物学		
twitter	Genome in a Bottle	"The Genome in a Bottle Consortium develops reference materials, reference data, and reference methods needed to benchmark human genome sequencing"	GenomeInABottle	生物学		
twitter	Matt Loose	@mattloose@mastdn.science	mattloose	生物学		
twitter	CooperGenomics	"We are the pioneers and global leaders of comprehensive reproductive genetic testing through PGT-A via our PGTai platform, PGT-M, PGT-SR, ERPeak and beyond!"	CooperGenomics	生物学		
twitter	Oxford Nanopore Events	Thank you for visiting. We have take the decision to retire @NanoporeConf. Follow @nanopore and #nanoporeconf for the latest event updates.	NanoporeConf	生物学		废弃
