目录	名称	简介	用户名	rss	领域	bot
twitter	Nature Reviews Genetics	Publishing reviews and commentaries across the fields of genetics and genomics. Part of @SpringerNature and @NaturePortfolio. Tweets are from the editors.	NatureRevGenet		生物学	
twitter	Johannes K_ster	"Algorithms for reproducible bioinformatics, Institute of Human Genetics, University of Duisburg-Essen"	johanneskoester		生物学	
twitter	Civitai	"A global community-driven platform for discovering, creating, and sharing Stable Diffusion resources and art."	HelloCivitai		AI	
twitter	Feng Zhang	Researcher at Broad Institute and McGovern Institute at MIT.	zhangf		生物学	
twitter	Kareem Carr	"Stats PhD student @Harvard _ I tweet about data science: what it is, how to do it better, why it matters for the rest of society."	kareem_carr		数据科学	
twitter	Wonder	"CEO of GrandOmics. Uncever the secret of long molecular information, by BAC-long, NextDenovo2, GrandSV and dbSV…"	GrandOmics		生物学	
twitter	ARTIC NetWork	Wellcome Trust Collaborative Grant to drive real-time genomic surveillance during outbreaks and epidemics	NetworkArtic		生物学	
twitter	Adam Phillippy	"Off to bluer pastures. I'll also try and post research updates more frequently on the lab homepage, linked below."	aphillippy		生物学	
twitter	Karen Miga	Assistant Professor at UCSC; UC Santa Cruz Genomics Institute; Satellite DNA Biologist	khmiga		生物学	
twitter	Eric Green	@Genome_gov Director. Genomicist. St. Louis Cardinals fan. He/Him/His NHGRI privacy policy: http://bit.ly/2QIsDUw.	NHGRI_Director		生物学	
twitter	Albert Vilella	"Experienced Bioinformatics Scientist, Next-Generation Sequencing, Single Cell, Spatial Biology, Liquid Biopsy, Epigenomics, Synthetic Biology."	AlbertVilella		生物学	
twitter	GrandOmics	Approach life-science :::::: Technology innovation Caring humanity :::::: Guardian of ethics———— (NextOmics) ———— Contact us: grandomics_intl@grandomics.com	GrandOmics_Intl		生物学	
twitter	GitHub	"The AI-powered developer platform to build, scale, and deliver secure software."	github		IT	
twitter	Alexander Wittenberg	"AgBio genomics expert. Exploring new horizons & disruptive innovations in DNA, RNA & Protein sequencing, single cell & spatial omics. __ __ __ __ __ __ ________"	AW_NGS		生物学	
twitter	pangenome_papers		pangenomepapers		生物学	bot
twitter	Disease Ontology	"The Disease Ontology is a community driven, open source ontology that is designed to integrate biomedical data that is associated with human disease."	diseaseontology		生物学	
twitter	Geraldine Van der Auwera 	Lead developer advocate at Seqera; Co-author of Genomics in the Cloud	VdaGeraldine		生物学	
twitter	Gerald Goh	"@LSChorus bass. Genomics advocate, cancer researcher, arts lover. Tweets are my own. He/hi"	gerald_goh		生物学	
twitter	Olin Silander	"A/Prof Massey University, Tāmaki Makaurau, Aotearoa. Evolutionary biologist and wannabe microbiologist. he/him."	osilander		生物学	
twitter	AllofUsResearch	We want to speed up health research. Be 1 in a million + #JoinAllofUs. Visit: http://JoinAllofUs.org Privacy Policy: http://go.usa.gov/x9svN Likes ≠ Endorsement.	AllofUsResearch		生物学	
twitter	Sam Ireland	Co-Founder/CTO @goodwright_	samirelanduk		?	
twitter	Dr. Amanda Warr __	"BBSRC Discovery Fellow #Genomics & #Metagenomics @roslininstitute I like long reads, 3D printing and cats. Also on @ION_BRU @amandatron89 .bsky.social"	Amandatron89		生物学	
twitter	Nextflow	"The leading open source orchestrator for containerized, data-intensive pipelines on any infrastructure at any scale."	nextflowio		IT	
